q1_tau_UR10,q2_tau_UR10,q3_tau_UR10,q4_tau_UR10,q5_tau_UR10,q6_tau_UR10
-0.678854682264496,-9.91319242633334,39.9255644048527,1.29918264974331,0.0213894944086827,-0.0291693744239474
-1.78641439059461,-10.6254032535357,39.7840474228425,1.27515576296991,0.104695149089572,-0.0290531337375101
-2.8069633889223,-10.9821733473308,39.6589592083696,1.24946373183814,0.180299297170172,-0.02929010468058
-3.6355658999507,-10.94265083126,39.5599199508122,1.22185325079654,0.239644887264399,-0.0293219726653375
-4.20190581690828,-10.5600552462069,39.4792805680753,1.18929745806188,0.277799116184523,-0.0283299177025974
-4.48535134752738,-9.81877010134739,39.427105419205,1.15376612965718,0.292825427203216,-0.0254677717042308
-4.51198043183712,-8.75898142534194,39.4008345950454,1.11611570463959,0.287060132501336,-0.0201662018066476
-4.33845430129586,-7.43425989203594,39.3956297928354,1.07723166887894,0.265321952615902,-0.0123648377701163
-4.03166987936198,-5.88686768455475,39.4090318215962,1.04047696534935,0.232780524248554,-0.0025636789035431
-3.65298242969723,-4.15877405155238,39.4381183605025,1.00838432318403,0.194300928022465,0.0083171632276804
-3.2498389587126,-2.27533460047392,39.4776913750753,0.98260296493319,0.153801705313871,0.0191908636385564
-2.85462307939978,-0.290518778620991,39.5224700623191,0.964564008246876,0.113845776587571,0.029060314795123
-2.48624781232772,1.7890923380967,39.5716676403527,0.955183181907416,0.0759602368401154,0.0371955701577701
-2.15397088023498,3.95537991256592,39.6263344033189,0.956311914942514,0.0404155985460433,0.0432034902883399
-1.8605869427768,6.1895917002988,39.6822916030762,0.966949549870324,0.0076245417036364,0.0470055435552627
-1.60508984764322,8.47832231849267,39.7373255231032,0.986323282924,-0.0224373137589195,0.0487615893320294
-1.38446969102942,10.7990488526104,39.7877334023969,1.01246380760757,-0.0498937321561004,0.048777033620184
-1.19485736604376,13.1656472850427,39.8372170989529,1.04600351729895,-0.0752604047463109,0.0474195840897303
-1.03221042993746,15.5740327051856,39.8836137979672,1.08539726574787,-0.0987844531350425,0.0450576117094883
-7.54292722820574,34.8871173808646,37.1006935849966,1.89173665176458,-0.467425455715936,1.03485686013865
-6.66696690380825,36.8889527604046,36.7896479551465,2.04634479792651,-0.546388412113722,0.99369802653116
-20.1220952500977,11.91017798612,39.4355219207553,2.36710611918572,1.32258146365417,-0.853371613596035
-19.6701998615078,12.0455723018507,39.6033704575326,2.19345925828904,1.29762344863799,-0.710449290255748
-5.73836043108971,18.2357470037111,40.0489661290067,1.26624689885569,0.257372820623289,0.0300514495038411
1.32434069026811,23.3726555227346,40.1253824891521,1.00867579907316,-0.266337951771369,0.210307956780136
1.3806215201207,25.34721513229,40.1930045178928,1.04602301954925,-0.259312224513216,0.163079478876918
1.40522610143678,27.396722266831,40.2551668669852,1.07165608077061,-0.250664757905439,0.128854463879047
1.40386630949151,29.5724676768225,40.3216078634716,1.09325913351688,-0.241561308834782,0.103501033310613
1.38189321772336,31.8486052752813,40.3850888134791,1.11076739247192,-0.231793057866376,0.0843523018595637
1.34419821831766,34.2061238119771,40.4441162537126,1.12537446724065,-0.221567723072772,0.0696395308680436
1.29497029435603,36.6146055722072,40.4941207692007,1.13591204972514,-0.210761221093418,0.0581608031757374
1.23784789547399,39.0832415614485,40.5401308232416,1.14507914118459,-0.199969749806356,0.0490813939424849
1.17575378683268,41.6162423405087,40.5826993614169,1.15333433147284,-0.18932358250398,0.0418101795606154
1.11102934423989,44.1985007423917,40.6202729446126,1.15996805282536,-0.178837467463407,0.0359211242282338
1.04552526525089,46.8301540379047,40.6537702650564,1.16555413267083,-0.168636255701557,0.0311022356243388
0.980676529460108,49.5027155988511,40.6839378695705,1.17007811335064,-0.15880865759437,0.027121713428973
0.917512321948628,52.200055502122,40.7101002980828,1.17314533239453,-0.149335695433678,0.0238050476371292
0.856808018211794,54.929564733745,40.7333487258016,1.17492305864909,-0.140281790490969,0.0210192419008795
0.799125870542533,57.6879900710176,40.7553565582234,1.17580792896405,-0.131715944849779,0.0186617895728877
0.744824457426303,60.472552478769,40.7749014483726,1.17437756574124,-0.12349271000539,0.0166528636177916
0.694149271832744,63.2628624995999,40.7932625563979,1.17143092647462,-0.115748522749481,0.0149296322361109
