time,q1,q2,q3,q4,q5,q6,qd1,qd2,qd3,qd4,qd5,qd6,qdd1,qdd2,qdd3,qdd4,qdd5,qdd6
0,0.415980135167306,-0.97558915401784,-1.93672321620884,-0.392746965631612,0.973880420938385,0.464477398364515,0.884735949767636,0.0874233836396174,0.0240102775075482,-0.0776579176436179,-0.691510130472582,-0.373262399265825,-0.134216634913364,-0.342673053254971,0.163361617408864,0.0506483717778311,0.168671093000949,-0.0476564866532247
1,0.503524927881862,-0.968599878057739,-1.93350559570722,-0.400201722114335,0.905826943720074,0.426913569251812,0.863674288013125,0.0520102032954774,0.0403390738153266,-0.0708943112245316,-0.667109183462058,-0.378011258947009,-0.283151742974386,-0.363823265956541,0.163180958827915,0.0832093543675777,0.315486289892641,-0.0474668552538082
2,0.588234651429539,-0.965242690043027,-1.92865636102064,-0.406826731925153,0.840931487142136,0.388874550802785,0.828252722372897,0.0149377275543727,0.0566392359545625,-0.061169799846181,-0.628571278302658,-0.382775861670724,-0.419168226855948,-0.375646194603608,0.162800489750647,0.109397846985989,0.449178212973689,-0.0478543599444214
3,0.6687627354746,-0.965633234643429,-1.92217929488989,-0.412363801057364,0.780517415204861,0.35035721707719,0.78048880609437,-0.0227578816166473,0.0728931576913197,-0.0492993588317562,-0.577931083188044,-0.387571912061406,-0.528546398472773,-0.376311521681126,0.162266691123306,0.125800022966773,0.556094035445209,-0.0479068684362538
4,0.744026173272411,-0.969776677382434,-1.91407971811973,-0.416652210595292,0.725643155692063,0.311362273322059,0.723557117563638,-0.0599272481530808,0.0890875008891819,-0.0364035498737603,-0.518373547330655,-0.392299951652591,-0.60225802773145,-0.36542069199209,0.161615297124204,0.129830713002502,0.627270561056992,-0.0462862494744198
5,0.813293614993785,-0.977563998625541,-1.90436414875691,-0.419653873630913,0.67701474172148,0.271907338211565,0.661205754215406,-0.0954624624949318,0.10521119344997,-0.0237891692606809,-0.453651467703845,-0.396720479050745,-0.63785414953893,-0.344152817830401,0.160854472428598,0.12041008290091,0.660305221785895,-0.0416102160898934
6,0.876209577488165,-0.988783646548467,-1.89304022648373,-0.421463689979572,0.634962056042208,0.232040322157446,0.597101028379291,-0.12844158810325,0.121252356183963,-0.0127785561503311,-0.387432591721493,-0.400474809621792,-0.639045498413759,-0.314934959204358,0.159961541072486,0.0982850790439901,0.658927750054966,-0.0329485409347185
7,0.932758700493925,-1.00314536334895,-1.88011692869836,-0.42230202957128,0.599474765426808,0.191848339091929,0.534313155028193,-0.158222611709724,0.137195857858451,-0.0045308376051245,-0.322787956113502,-0.403151545376757,-0.613517764625926,-0.280811145953463,0.158898452837342,0.0658757867262466,0.630819200230226,-0.0202025109478087
8,0.983190904104868,-1.02031010444407,-1.86560492672997,-0.422490857640282,0.570277126576823,0.151458532549863,0.475056447855179,-0.184471136568325,0.153023176626048,9.98539336913157E-05,-0.261933816590055,-0.404376831965799,-0.570257840488919,-0.244794213396404,0.157640370556628,0.026724833203845,0.584951529687766,-0.0041891465711318
9,1.027933248527,-1.03991975642986,-1.84951680740664,-0.422418857725932,0.546915989615546,0.111030020372385,0.420672875905079,-0.20713193338369,0.168715220870042,0.0006395558614575,-0.206215446642629,-0.403896469264537,-0.517477462594812,-0.209409668318602,0.156203774032887,-0.0152405071731503,0.529526278773174,0.0135882464876724
