tau1,tau2,tau3,tau4,tau5,tau6
-0.0794093948148116,-9.9213176663969,37.2135092527316,1.38954613747528,-0.0803921686366788,-0.0311636564037894
-0.545250480370024,-10.4979830424725,37.1072688390075,1.36867618876182,-0.0842952251064983,-0.0294186221154263
-0.98078816305461,-10.765409533267,37.023099706316,1.34551487167458,-0.0880034430031701,-0.0275970609036195
-1.33969295453329,-10.7152348157613,36.9639371810242,1.32159501744554,-0.0915269592309414,-0.0257005707471274
-1.5900627571163,-10.3519009614258,36.9305942919134,1.2986883665897,-0.0948757548094026,-0.0237317428301383
-1.72131878096597,-9.69187649012864,36.9218082603682,1.27844230566363,-0.0980651815329482,-0.0216947420571283
-1.74338965395526,-8.76076973720773,36.9346680415568,1.26209072389625,-0.101123326410489,-0.0195953148285969
-1.67979674982103,-7.58941638712641,36.9652456193776,1.25032810291226,-0.10409746439146,-0.0174403432349919
-1.55886703267814,-6.2101418926058,37.009237816647,1.24335200724188,-0.10705665395864,-0.0152372538049469
-1.40677898018942,-4.65394377926788,37.0624848768345,1.24101241981881,-0.110088941773636,-0.012993538885112
-1.24391447339628,-2.94876906455956,37.1213091692822,1.24298732358278,-0.11329374052936,-0.0107164875380107
-1.08407589404664,-1.11871140802997,37.1826762134397,1.24892431666558,-0.116771542274616,-0.0084130964932852
-0.935373849144889,0.816147141818062,37.2442135176348,1.25852268579926,-0.120613607422606,-0.00609008732439873
-0.80171318204006,2.83949541753417,37.3041354963564,1.27155925577523,-0.124893749814511,-0.0037539659540186
-0.684234134586943,4.93833958648423,37.361120958048,1.28787646644529,-0.129663327366664,-0.00141108645120052
-0.582444682226777,7.10246988179408,37.414179084673,1.30735363244354,-0.134949550926445,0.00093229766553233
-0.495005431855788,9.32393647920499,37.4625261198018,1.32987734091688,-0.140756535497565,0.00326999906070682
-0.420225540409366,11.596585672876,37.5054826521945,1.3553196517913,-0.147068207823011,0.00559587793999483
-0.356350808248454,13.9156776908933,37.542392778892,1.38352658736913,-0.153852178108714,0.00790383599230797
-4.01700516699785,26.6501324411931,37.7094464542356,1.30630194063546,-0.192680548243465,-0.0449010505446709
-3.72029510053479,28.3820718556278,37.6925090719526,1.31253629118416,-0.198164631383212,-0.044522660981836
-7.86674235824053,13.9607437255255,36.5184102977769,1.02667844913753,-0.184590518429179,0.0128103684357677
-7.66297559914644,14.2098571055609,36.5463662309543,1.07155706957482,-0.180378687777019,0.0128310943681146
-2.18166080489609,18.0213136511973,37.2670455612049,1.39126021465722,-0.158353687898233,0.0113885447535917
0.552228954496801,21.5614695219395,37.6739766944218,1.46549873143882,-0.137059612669685,0.0105506223448128
0.558436646978228,23.4483148231306,37.7150270923793,1.42569212832175,-0.124515111252067,0.0105441430194123
0.55345450063001,25.4397200438065,37.7576911537284,1.39492531976186,-0.113825933734418,0.0105378743677726
0.539536589926314,27.525583195379,37.7991985469766,1.37042834518281,-0.104607027626996,0.010531763844886
0.51883108376399,29.6970665280142,37.8378045230821,1.35034723771519,-0.0965715216109928,0.0105258289377887
0.493273589435947,31.9462990750339,37.8724351048193,1.33342109513065,-0.0895019071286008,0.0105201149856937
0.464536071158301,34.2662014386293,37.9024621124038,1.31878152776467,-0.0832305840126909,0.0105146708742668
0.434013461117084,36.6503750381443,37.9275497488877,1.30582452129058,-0.0776264906961129,0.0105095362056952
0.402834823350191,39.0930252910482,37.947542721886,1.29412660350587,-0.072585752633317,0.0105047355952627
0.371889131413794,41.5889026836531,37.9623795807444,1.28338892277739,-0.0680250307352955,0.0105002772155779
0.3418586257005,44.1332528731352,37.9720217469372,1.27339935695665,-0.0638767141075288,0.0104961535888982
0.313254949889961,46.7217704365069,37.9763921154881,1.26400651815128,-0.0600853944934445,0.0104923434186944
0.286455353353404,49.3505519143614,37.9753187008023,1.25510174283225,-0.0566052445656498,0.0104888136008013
0.261737716926508,52.0160433756175,37.9684793629057,1.24660651799396,-0.0533980440590956,0.0104855209226588
0.23931455032555,54.7149757310097,37.9553434797883,1.2384636512366,-0.05043167700751,0.0104824130778711
0.219367413928182,57.4442765987659,37.9351055537646,1.23063104185053,-0.0476789768331577,0.0104794286504925
0.202084825159324,60.2009389986777,37.9066039780624,1.22307727329135,-0.0451168334007459,0.0104764956548526
0.187709362924896,62.9818099920494,37.8682150145377,1.21577848815987,-0.0427255023203441,0.0104735279055156
4.18752598958843,77.598126536374,39.1787977922929,1.49056775235482,-0.0144464282803093,0.00794637064138856
4.09459559803652,78.8777327688595,39.1711503087016,1.48626945335717,-0.0136413471940313,0.0079546382236932
4.12417873845819,78.3659891074219,39.1715768656234,1.48799137142643,-0.0140318541247207,0.00795555684056906
4.28106680648445,76.0996338601646,39.1784533614709,1.49605056227958,-0.0156516847774994,0.00795091137108905
0.195025250395106,61.387169095305,37.8919302986401,1.21990042475735,-0.0440786802998364,0.010475869922578
0.211026049436066,58.6200593400752,37.9244008434572,1.2273472487895,-0.0465664943537276,0.0104788817459941
0.2298008619267,55.8789435698321,37.9479873955041,1.23506057282495,-0.0492359286968201,0.0104819140082846
0.251142061348696,53.1668755327999,37.964032306132,1.24306845863511,-0.0521085997560069,0.0104850448279462
0.274869016461398,50.4868905581454,37.9734807650247,1.25140804475708,-0.0552098520067769,0.0104883402155563
0.300786765211283,47.8421672565409,37.9769709505121,1.26012937236569,-0.058569561027684,0.0104918562486207
0.328650395379123,45.2361322007717,37.9749056462177,1.26930075927993,-0.0622231690071246,0.0104956394503159
0.358131029118959,42.672533523378,37.967513201127,1.2790163879093,-0.0662130267291007,0.0104997258516613
0.388781270475015,40.1554978496437,37.9549034519105,1.28940707673894,-0.0705901482010781,0.0105041390510066
0.419999417686047,37.6895789296101,37.9371230040095,1.30065565784507,-0.0754165289364795,0.0105088874949399
0.450993017854737,35.2798034624925,37.9142138087236,1.31301908657825,-0.0807682461610108,0.010513961269336
0.480743794220876,32.9317184040025,37.8862791875561,1.32686051289451,-0.0867396596795774,0.010519328810821
0.507977754991882,30.6514444422071,37.8535625344748,1.34269632836675,-0.0934491861122647,0.0105249341674495
0.531146501126124,28.4457425028826,37.8165463807735,1.361266164302,-0.101047358232471,0.0105306957066982
0.548428342048799,26.3221053200668,37.7760844847373,1.38363888898111,-0.109728258925771,0.010536507495729
0.557760878450304,24.288896779439,37.7335895773464,1.41137663972704,-0.119746024019863,0.0105422448237524
0.556920608249267,22.3555822491565,37.6913196852586,1.44679541319788,-0.131439085765452,0.0105477752513366
0.54367184270545,20.5331301724934,37.6528484671018,1.49339207448335,-0.145266410332828,0.0105529757049696
-7.44711623918305,14.4118364358786,36.5686159725153,1.10988413100341,-0.176386785200363,0.0128498676653061
-7.81809977215191,14.0125005539193,36.5256271116156,1.03797284160538,-0.183591490850365,0.0128158143022315
-3.66173588467164,28.7480745352489,37.686506871192,1.31387757058276,-0.199352618346342,-0.0444548065782695
-3.84940945652275,27.5380101531719,37.695802195585,1.3086830609509,-0.195430163036868,-0.0447244012995764
-0.330747258514423,14.9212965005156,37.5564232971487,1.39638743930699,-0.156881780990637,0.00888423458092076
-0.390325006149551,12.5837264950847,37.522340045077,1.36706088428032,-0.14990920424299,0.00658562978310825
-0.460053798021386,10.2909667725155,37.4819320132204,1.34042739405877,-0.143391242158288,0.00426649506151696
-0.54166169169628,8.047254879914,37.4358661125423,1.31665358883514,-0.137366051246353,0.00193290577581324
