"time","x_des","y_des","z_des","roll_des","pitch_des","yaw_des","kp","kd","q1","q2","q3","q4","q5","q6","dq1","dq2","dq3","dq4","dq5","dq6","ee_x","ee_y","ee_z","ee_roll","ee_pitch","ee_yaw","tau1","tau2","tau3","tau4","tau5","tau6"
0,0.5,0,0.5,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.5,0,0.5,0,0,0,10,2,0.00491225975547434,-0.0001295897241223119,0.005620012292674426,-0.1515485755034985,0.04715114180764322,0.126838943203934,0.491225975547434,-0.01295897241223119,0.5620012292674426,-2,2,2,1.59955930872497,-0.1717880829493325,-0.0313280254612688,-0.04186832827053545,0.01905872593451132,1.563935220639445,2.45612987773717,-0.9978408757418017,17.42203810729072,-30.3097151006997,9.430228361528643,12.6838943203934
0.02,0.5,0,0.5,0,0,0,10,2,0.01166869494242455,-0.0003771272040975478,0.01628574989872163,-0.290630792037996,0.09430027659096794,0.2189227953928296,0.6756435186950214,-0.02475374799752359,1.066573760604721,-2,2,2,1.593966101243188,-0.1665366707225442,-0.05512888178435451,-0.0805122272170484,0.0546210575829553,1.545211546115065,1.45759824466174,-1.40985686131809,15.96374063837025,-24.32745483087189,5.721378459344413,7.384704033485642
0.03,0.5,0,0.5,0,0,0,10,2,0.0192064720834657,-0.0007567444750159567,0.03150375006392483,-0.4192467255217257,0.1388574159821072,0.300134132954539,0.7537777141041146,-0.0379617270918409,1.52180001652032,-2,2,2,1.585787115989354,-0.1598558543221497,-0.07201643619409276,-0.1138879309301295,0.08486943426401261,1.518152250477467,0.9750219302158123,-1.521842761432985,14.47574065937813,-22.51352199121871,5.294323500147474,6.352160655352996
0.04,0.5,0,0.5,0,0,0,10,2,0.02697704894758183,0.0007926076719858003,0.04011365312413225,-0.4522990071161455,0.1811702936899704,0.3713207045353465,0.7770576864116123,0.1549352147001757,0.8609903060207413,-2,2,2,1.584088488033526,-0.1524767069517891,-0.06991123792515205,-0.1418216468021942,0.03396914382096117,1.49864029893205,0.7552347008260818,14.34337589593729,-20.06184065860106,-3.649066439674183,4.931423501760012,5.397026240013126
0.05,0.5,0,0.5,0,0,0,10,2,0.03470675722491669,0.002012330678525446,0.05331837090625823,-0.5700155424570496,0.2216809587191433,0.4335021275805162,0.772970827733486,0.1219723006539646,1.320471778212598,-2,2,2,1.573353676730761,-0.1452682614737302,-0.08212534931368562,-0.1666764699100832,0.07021951996476318,1.462081713290104,0.6745588432900651,-2.027996602025505,14.70085665205601,-20.64364187684496,4.652112659288509,4.537053007593796
0.06,0.5,0,0.5,0,0,0,10,2,0.04223234345781229,0.002895728369029888,0.0707882423844578,-0.6812365760979524,0.2603090683042166,0.4877366388086659,0.7525586232895599,0.08833976905044416,1.746987147819957,-2,2,2,1.561501562318768,-0.1383446346473005,-0.08885956918453282,-0.1883788241344403,0.1027205814701974,1.42254788692044,0.6487833774272083,-2.063941018800054,13.73052354264103,-19.55592966848376,4.352692536233238,3.776874525819339
0.07000000000000001,0.5,0,0.5,0,0,0,10,2,0.04947002785054254,0.003441168520126294,0.09219594977059309,-0.7865654766103194,0.2972199511252608,0.5350077540280207,0.7237684392730254,0.05454401510964068,2,-2,2,2,1.548993951033356,-0.1318469825756499,-0.09070358323360546,-0.207486758398286,0.131632959818298,1.381409680235919,0.6612554811299958,-2.065199005178132,12.78406921205342,-18.56313646385573,4.08210481378663,3.109841610462309
0.08,0.5,0,0.5,0,0,0,10,2,0.0563811667650053,0.00365167670765941,0.1158978285048544,-0.8865039765274961,0.3325469091310386,0.5761874781997798,0.6911138914462758,0.0210508187533116,2,-2,2,2,1.536015394044105,-0.1258414141987477,-0.08921442591174422,-0.2245128242469635,0.1583932257607813,1.339323493891077,0.6941997003103502,-2.034918819149846,12.13609520033398,-17.64611010812403,3.834243196304866,2.525571188310684
0.09,0.5,0,0.5,0,0,0,10,2,0.06295299244737197,0.003533730421271783,0.1395140413883315,-0.9814999672440319,0.3663981895654125,0.6120363140446582,0.6571825682366668,-0.01179462863876275,2,-2,2,2,1.522584181899917,-0.1203551010313488,-0.08639100874032286,-0.2399820623823373,0.1851437485615633,1.296329531332216,0.7377063149126863,-1.982347023005008,11.96277771495551,-16.79550075188556,3.604348871187838,2.013588256768667
