"time,""q1"",""q2"",""q3"",""q4"",""q5"",""q6"""
0,-0.6933520475970667,-0.8328288358500977,0.9508188406573694,1.14861719190564,1.515310287475586,1.738813877105713
1,-0.693371597920553,-0.8328288358500977,0.9508112112628382,1.14859859525647,1.515298366546631,1.738829374313354
2,-0.693336311970846,-0.8327907484820862,0.9508188406573694,1.14859859525647,1.515291213989258,1.738832950592041
3,-0.6933749357806605,-0.832847849731781,0.9507988134967249,1.148583336467407,1.515313863754272,1.738832950592041
4,-0.6937568823443812,-0.8323977750590821,0.9496348539935511,1.148790522212646,1.515262126922607,1.738897800445557
5,-0.7026985327350062,-0.8221829694560547,0.9278014341937464,1.15376274167981,1.512996196746826,1.742208957672119
6,-0.7136214415179651,-0.80967731893573,0.9010327498065394,1.159706278438232,1.510265707969666,1.746142864227295
7,-0.7261236349688929,-0.7955269378474732,0.8703706900226038,1.166568441981934,1.507133960723877,1.750629425048828
8,-0.7262838522540491,-0.7952640813640137,0.8699510733233851,1.166645212764404,1.507101058959961,1.750712275505066
9,-0.6813181082354944,-0.8448125284961243,0.976788345967428,1.1434051233479,1.518242597579956,1.735162734985352
10,-0.5969327131854456,-0.9078897398761292,1.120917145405905,1.12125484525647,1.536905884742737,1.718418836593628
11,-0.4990018049823206,-0.9504264754107972,1.231674973164694,1.115017099971435,1.553999781608582,1.713819265365601
12,-0.2862923781024378,-0.9742682141116639,1.352271858845846,1.139346285457275,1.571624755859375,1.736784696578979
13,-0.285867993031637,-0.9742170733264466,1.35240346590151,1.139468832606934,1.571602463722229,1.73683762550354
14,-0.2282975355731409,-0.9672435087016602,1.371360127125875,1.155432625407837,1.570950508117676,1.749694108963013
15,-0.3100231329547327,-0.9667001527598877,1.37964374223818,1.152935667628906,1.570012092590332,1.745246171951294
16,-0.4305713812457483,-0.9506331843188782,1.367228809987203,1.159437342281006,1.569623112678528,1.741921424865723
17,-0.5442479292498987,-0.9166463178447266,1.323887650166647,1.178774996394775,1.570423126220703,1.745484471321106
18,-0.6062477270709437,-0.8904318970492859,1.283810917531149,1.196537657375,1.571305274963379,1.750178098678589
19,-0.7247551123248499,-0.8415137094310303,1.159369293843405,1.250562592143677,1.571753978729248,1.74761962890625
20,-0.7672932783709925,-0.8139817279628296,1.095669094716207,1.27816288053479,1.571245193481445,1.750662684440613
21,-0.6760714689837855,-0.9142706555179139,1.066882435475485,1.404681368465088,1.571042776107788,1.748337745666504
22,-0.6352999846087855,-0.9442324799350281,1.03432017961611,1.46624128400769,1.571142196655273,1.74982750415802
