"time","q1","q2","q3","q4","q5","q6","x","y","z","roll","pitch","yaw","qx","qy","qz","qw"
0,-0.6929999999999999,-0.833,0.951,1.149,1.515,1.739,-1.1843,-0.3499,0.06280000000000002,1.570796326794897,-0,0,0.7071067811865475,0,0,0.7071067811865476
1,-0.6929999999999999,-0.833,0.951,1.149,1.515,1.739,-0.823392980898346,0.4947712101985197,0.3117917538947543,-3.034373895143241,-0.2900649314732335,2.273257441461379,0.4086153648931579,0.8996637523874013,0.01260582531590966,-0.1532309021756283
2,-0.6929999999999999,-0.833,0.951,1.149,1.515,1.739,-0.823392980898346,0.4947712101985197,0.3117917538947543,-3.034373895143241,-0.2900649314732335,2.273257441461379,0.4086153648931579,0.8996637523874013,0.01260582531590966,-0.1532309021756283
3,-0.6929999999999999,-0.833,0.951,1.149,1.515,1.739,-0.823392980898346,0.4947712101985197,0.3117917538947543,-3.034373895143241,-0.2900649314732335,2.273257441461379,0.4086153648931579,0.8996637523874013,0.01260582531590966,-0.1532309021756283
4,-0.6929999999999999,-0.833,0.951,1.149,1.515,1.739,-0.823392980898346,0.4947712101985197,0.3117917538947543,-3.034373895143241,-0.2900649314732335,2.273257441461379,0.4086153648931579,0.8996637523874013,0.01260582531590966,-0.1532309021756283
5,-0.694,-0.832,0.95,1.149,1.515,1.739,-0.8232457435336336,0.4958838752050796,0.3113798602712738,-3.034373895143241,-0.2900649314732334,2.272257441461379,0.4090651456736892,0.8994593322555008,0.01268243918807702,-0.1532245801093706
6,-0.703,-0.822,0.928,1.154,1.513,1.742,-0.8243067351512388,0.5074153504990985,0.3138767555739969,-3.030225609678454,-0.2962925112846098,2.259808689137802,0.4139883931029047,0.8965845794836079,0.01311099803979638,-0.1567730969863045
7,-0.714,-0.8100000000000001,0.901,1.16,1.51,1.746,-0.82538043320775,0.5214035013121864,0.3171749098210658,-3.024361692042143,-0.3041755315903992,2.244208579865092,0.4200470199693201,0.8929352194670337,0.01343292432687978,-0.1613900597753225
8,-0.726,-0.796,0.87,1.167,1.507,1.751,-0.8264646067384781,0.5369725997096426,0.3207032637964154,-3.017903744701366,-0.3128753146012542,2.226475479719637,0.4268916920875443,0.8887380450068307,0.01392436605783834,-0.1664760721964482
9,-0.726,-0.795,0.87,1.167,1.507,1.751,-0.8265825524002083,0.5370773047531462,0.3197286376358037,-3.018101266103059,-0.3118931383104547,2.226536183652843,0.4269416925214276,0.8888048043836673,0.01378897748094822,-0.1660020330944164
10,-0.681,-0.845,0.977,1.143,1.518,1.735,-0.8223819601429581,0.4801080806515631,0.308966763379336,-3.039926018163021,-0.2830950731244932,2.289756898753425,0.4019686116596697,0.9033492951789167,0.01240179329432987,-0.1490888381577802
