time,q1,q2,q3,q4,q5,q6,x_t
0,-0.693,1.66694066,-1.41753896,1.017598301,1.515,1.739,-0.808345194
1,-0.693,1.66694066,-1.41753896,1.017598301,1.515,1.739,-0.808345194
