"time","q1","q2","q3","q4","q5","q6","x","y","z","roll","pitch","yaw","qx","qy","qz","qw"
0,-0.700858863,-0.051935596,0.899795334,-1.151228347,1.512650654,1.731488325,-1.185,-0.291,0.06100000000000001,1.570796326794897,-0,0,0.7071067811865475,0,0,0.7071067811865476
0.5,-0.700858863,-0.051935596,0.899795334,-1.151228347,1.512650654,1.731488325,-0.986291808996055,0.5956324172772091,-0.2957283735217758,-0.4266226063802878,-1.23703974836542,-0.1915348632932966,-0.2258747790366065,-0.5475990090667094,-0.1983263597485599,0.7808857563646597
1,-0.700858863,-0.051935596,0.899795334,-1.151228347,1.512650654,1.731488325,-0.986291808996055,0.5956324172772091,-0.2957283735217758,-0.4266226063802878,-1.23703974836542,-0.1915348632932966,-0.2258747790366065,-0.5475990090667094,-0.1983263597485599,0.7808857563646597
