"time","x_t","y_t","z_t","roll_t","pitch_t","yaw_t","q1","q2","q3","q4","q5","q6"
0,-0.808345194,0.436592474,0.419885572,-3.034373895,-0.290064931,2.273257441,0,0,0,0,0,0
0.5,-0.808345194,0.436592474,0.419885572,-3.034373895,-0.290064931,2.273257441,-0.685761888671238,1.765572691770083,-0.9533484754998303,-2.687195110693755,1.517166558359125,-1.395676052464923
1,-0.808345194,0.436592474,0.419885572,-3.034373895,-0.290064931,2.273257441,-0.685761888671238,1.765572691770083,-0.9533484754998303,-2.687195110693755,1.517166558359125,-1.395676052464923
