"time","q1","q2","q3","q4","q5","q6","x","y","z","roll","pitch","yaw","qx","qy","qz","qw"
0,-0.700858863,-0.051935596,0.899795334,0.41956798,1.512650654,1.731488325,-1.185,-0.291,0.06100000000000001,1.570796326794897,-0,0,0.7071067811865475,0,0,0.7071067811865476
0.5,-0.700858863,-0.051935596,0.899795334,0.41956798,1.512650654,1.731488325,-0.8128410090411251,0.4492819819400464,-0.3634181921378017,-3.034373894449639,-0.2900649318395324,2.273257440765213,-0.4086153651332465,-0.8996637522296466,-0.01260582513465364,0.1532309024765283
1,-0.700858863,-0.051935596,0.899795334,0.41956798,1.512650654,1.731488325,-0.8128410090411251,0.4492819819400464,-0.3634181921378017,-3.034373894449639,-0.2900649318395324,2.273257440765213,-0.4086153651332465,-0.8996637522296466,-0.01260582513465364,0.1532309024765283
