time,q1,q2,q3,q4,q5,q6,x,y,z,roll,pitch,yaw,qx,qy,qz,qw
34,-0.768,-0.814,1.095,1.279,1.571,1.751,-0.733503451,0.466545986,0.349761343,-3.13985793,-0.010658002,2.193378636,-0.456533368,-0.889689909,-0.00166123,0.005137175
35,-0.746,-0.842,1.094,1.307,1.571,1.749,-0.737599661,0.444762125,0.377253028,-3.139701966,-0.011645612,2.21737677,-0.445823261,-0.89510157,-0.001749824,0.005633508
36,-0.664,-0.924,1.058,1.423,1.571,1.749,-0.751349511,0.367043998,0.475122165,-3.139347386,-0.013613934,2.299372292,-0.408757194,-0.912617095,-0.001757955,0.006671122
37,-0.619,-0.953,1.016,1.49,1.571,1.751,-0.759060604,0.327145625,0.52556209,-3.138603066,-0.017544629,2.342360942,-0.389037009,-0.921179146,-0.002035982,0.008662584
38,-0.663,-0.896,0.966,1.365,1.55,1.745,-0.778916204,0.384416388,0.487500727,-3.097449198,-0.13012623,2.302926602,-0.404880316,-0.911790396,-0.006350241,0.068336501
39,-0.706,-0.831,0.905,1.233,1.523,1.746,-0.800093845,0.446154251,0.447362703,-3.047636641,-0.251353966,2.254851957,-0.419816205,-0.89772302,-0.011627,0.133088489
40,-0.674,-0.852,0.992,1.141,1.52,1.733,-0.806474318,0.413900077,0.416256874,-3.043517542,-0.277703978,2.299085879,-0.398291014,-0.905481795,-0.012224823,0.146005279
41,-0.639,-0.88,1.056,1.13,1.528,1.725,-0.803906003,0.374288148,0.409085673,-3.057787932,-0.255020318,2.343338896,-0.380212465,-0.915188253,-0.011090472,0.133213903
42,-0.537,-0.937,1.194,1.116,1.548,1.714,-0.796301233,0.268478448,0.391285158,-3.090460506,-0.192494535,2.458713323,-0.330870566,-0.938428627,-0.008191441,0.099041808
43,-0.41,-0.97,1.298,1.12,1.565,1.719,-0.78798057,0.152017308,0.371569379,-3.117640067,-0.120587825,2.582299296,-0.274801146,-0.959536864,-0.005140956,0.06121198
44,-0.366,-0.974,1.322,1.126,1.568,1.725,-0.785203107,0.114251132,0.364925212,-3.123917411,-0.09521478,2.620682293,-0.2568122,-0.96524867,-0.003724998,0.048255818
45,-0.218,-0.968,1.367,1.155,1.571,1.749,-0.776310699,-0.006225051,0.344741582,-3.138815478,-0.016566414,2.745364265,-0.196802545,-0.980407171,-0.000268908,0.008394376
46,-0.221,-0.967,1.37,1.156,1.571,1.75,-0.775367934,-0.004111316,0.342878871,-3.139690321,-0.011643715,2.741376704,-0.198766267,-0.980029169,-0.000225064,0.005894713
47,-0.371,-0.961,1.377,1.155,1.57,1.743,-0.766058599,0.111205346,0.335392257,-3.140843005,0.000337114,2.598389026,0.268274914,0.963342308,-0.000406304,6.18E-05
48,-0.505,-0.931,1.343,1.17,1.57,1.743,-0.757073467,0.219595762,0.328057778,3.14045733,0.011174413,2.464378176,0.332165507,0.943204398,-0.001320492,0.005458486
49,-0.595,-0.894,1.292,1.193,1.571,1.75,-0.750819374,0.298092265,0.322639488,3.137790545,0.019843784,2.367353313,0.377486069,0.925960158,-0.001985383,0.009905163
50,-0.658,-0.873,1.237,1.217,1.572,1.747,-0.744996439,0.356075194,0.331307384,3.138618927,0.009834682,2.307380498,0.405104311,0.91425604,-0.000632715,0.005098075
51,-0.765,-0.815,1.099,1.277,1.571,1.75,-0.734147772,0.463621436,0.348652813,-3.140046854,-0.009675747,2.197380504,-0.454754201,-0.890603511,-0.00151173,0.004660135
52,-0.752,-0.834,1.095,1.299,1.571,1.75,-0.736539726,0.450696716,0.369111613,-3.139868589,-0.010659731,2.210378692,-0.448954602,-0.893538256,-0.001622655,0.00514949
53,-0.665,-0.923,1.06,1.42,1.571,1.749,-0.751184481,0.367953867,0.473052236,-3.139347386,-0.013613934,2.298372292,-0.409213451,-0.912412602,-0.001761291,0.006670242
54,-0.628,-0.949,1.027,1.478,1.571,1.75,-0.756922888,0.334571753,0.515933426,-3.139155491,-0.014595665,2.334369687,-0.392723264,-0.919626933,-0.001745502,0.007189952
