"time","x_ik","y_ik","z_ik","rx_ik","ry_ik","rz_ik","q1_ik","q2_ik","q3_ik","q4_ik","q5_ik","q6_ik"
0,-0.6860000000000001,-0.174,0.6726,1.214,-1.208,-1.212,-1.32909491753334e-05,-1.575381581655065,-1.577494034704073,-0.0005279705630496741,1.570718398796328,-0.004890059182358162
1,-0.6860000000000001,-0.174,0.6726,1.214,-1.208,-1.212,-1.32909491753334e-05,-1.575381581655065,-1.577494034704073,-0.0005279705630496741,1.570718398796328,-0.004890059182358162
