"time","theta","y","x"
0,0,0,0
0.002,0.02000000000000002,0,0.03
0.004,0.04000000000000004,0.000599960000799993,0.05999400019999733
0.006,0.06000000000000005,0.001799640026399019,0.08997000339982666
0.008,0.08000000000000007,0.003598560220782358,0.1199160195978828
0.01,0.1000000000000001,0.005996001039857542,0.1498200707869614
0.012,0.1200000000000001,0.008991003539262389,0.1796701957453021
0.014,0.1400000000000001,0.01258236975792997,0.2094544548209181
0.016,0.1600000000000001,0.01676866319725707,0.2391609347072972
0.018,0.1800000000000002,0.02154820939568446,0.2687777532085661
0.02,0.2000000000000002,0.02691909659845919,0.2982930639922097
0.022,0.2200000000000002,0.03287917652231103,0.3276950613274469
0.024,0.2400000000000002,0.03942606521473711,0.3569719848073651
0.026,0.2600000000000002,0.04655714400755116,0.3861121240529259
0.028,0.2800000000000002,0.05426956056431582,0.4151038233969613
0.03,0.3000000000000003,0.06256023002123924,0.4439354865462845
0.032,0.3200000000000003,0.07142583622107944,0.4725955812200526
0.034,0.3400000000000003,0.08086283303956299,0.5010726437625258
0.036,0.3600000000000003,0.09086744580378743,0.5293552837283761
0.038,0.3800000000000003,0.1014356728020401,0.5574321884387142
0.04,0.4000000000000004,0.1125632868844296,0.5852921275060096
0.042,0.4200000000000004,0.1242458371536891,0.6129239573260961
0.044,0.4400000000000004,0.1364786507454763,0.6403166255354653
0.046,0.4600000000000004,0.1492568346974563,0.6674591754320642
0.048,0.4800000000000004,0.1625752779064219,0.6943407503578299
0.05,0.5000000000000004,0.1764286531726664,0.7209505980412084
0.052,0.5200000000000005,0.1908114193307925,0.7472780748979196
0.054,0.5400000000000005,0.2057178234661046,0.7733126502882491
0.056,0.5600000000000005,0.221141903215698,0.7990439107291638
0.058,0.5800000000000005,0.2370774891533245,0.8244615640595663
0.06,0.6000000000000005,0.2535182072570807,0.8495554435570218
0.062,0.6200000000000006,0.2704574814589318,0.8743155120043122
0.064,0.6400000000000006,0.287888536275051,0.8987318657041883
0.066,0.6600000000000006,0.3058043995159228,0.922794738440717
0.068,0.6800000000000006,0.3241979050751259,0.946494505385638
0.07000000000000001,0.7000000000000006,0.3430616957956799,0.9698216869481657
0.07200000000000001,0.7200000000000006,0.3623882264128107,0.9927669525667003
0.074,0.7400000000000007,0.3821697665719549,1.015321124440927
0.076,0.7600000000000007,0.4023984039207993,1.037475181202815
0.078,0.7800000000000007,0.4230660472741158,1.059220261525042
0.08,0.8000000000000007,0.4441644298501282,1.08054766766541
0.082,0.8200000000000007,0.4656851125771139,1.101448868945825
0.08400000000000001,0.8400000000000007,0.4876194874689208,1.121915505164454
0.08600000000000001,0.8600000000000012,0.5099587810680466,1.141939389939693
0.08799999999999999,0.8800000000000008,0.5326940579549049,1.161512513984615
0.09,0.9000000000000004,0.5558162243218739,1.180627048310572
0.092,0.9199999999999999,0.5793160316106984,1.199275347358692
0.094,0.9399999999999995,0.6031840802117894,1.217449952057996
0.096,0.9599999999999991,0.6274108232239428,1.235143592808928
0.098,0.9799999999999986,0.6519865702729728,1.252349192391102
0.1,0.9999999999999982,0.6769014913877319,1.269059868794089
0.102,1.019999999999998,0.7021456209319688,1.285268937970133
0.104,1.039999999999997,0.7277088615904496,1.300969916507682
0.106,1.059999999999997,0.7535809884077497,1.316156524224666
0.108,1.079999999999997,0.7797516528780992,1.330822686680482
0.11,1.099999999999996,0.8062103870846475,1.344962537605694
0.112,1.119999999999996,0.8329466078864906,1.358570421248461
0.114,1.139999999999995,0.8599496211517856,1.371640894636763
0.116,1.159999999999995,0.8872086260352621,1.384168729755514
0.118,1.179999999999994,0.914712719298415,1.396148915637702
0.12,1.199999999999994,0.9424508996706555,1.407576660368709
0.122,1.219999999999994,0.9704120722496723,1.418447393003009
0.124,1.239999999999993,0.9985850529392443,1.428756765392491
0.126,1.259999999999993,1.02695857292273,1.438500653925654
0.128,1.279999999999992,1.055521283170446,1.447675161177003
0.13,1.299999999999992,1.084261758979123,1.456276617465962
0.132,1.319999999999991,1.113168504541638,1.4643015823247
0.134,1.339999999999991,1.142229957545186,1.471746845874271
0.136,1.359999999999991,1.171434493796046,1.478609430108525
0.138,1.37999999999999,1.200770431869105,1.484886590085268
0.14,1.39999999999999,1.230226037780276,1.490575815024203
0.142,1.419999999999989,1.25978952967993,1.495674829311211
0.144,1.439999999999989,1.289449082565481,1.500181593408562
0.146,1.459999999999988,1.319192833011231,1.504094304670706
0.148,1.479999999999988,1.349008883913581,1.507411398065309
0.15,1.499999999999988,1.37888530924971,1.510131546799239
0.152,1.519999999999987,1.408810158847832,1.51225366284927
0.154,1.539999999999987,1.438771463167099,1.513776897397278
