"time","joint_angle_1","joint_angle_2","joint_angle_3","joint_angle_4","joint_angle_5","joint_angle_6","ee_x","ee_y","ee_z"
0,0,0,0,0,0,0,0,0,0
0.002,0,0,0,0,0,0,0,-0.452,0.8080000000000001
0.004,0.04265058350014722,-0.04945177598386638,0.004877012242616382,0.110877506950439,-0.3033211620189233,0,-0.0008728094595257242,-0.4519971761030533,0.807998235426667
0.006,0.1242959862004291,-0.1424211148335352,0.01404579525873518,0.2993692687661854,-0.7279707888454159,0,-0.001773825112251463,-0.4519843654402578,0.80798878577556
0.008,0.2441172507104969,-0.2410899283940929,-0.06933450224021374,0.9865109913921714,-1.707203429830491,0,-0.006709616685703012,-0.4519013159601439,0.807882815398096
0.01,0.3753430405941609,-0.4168650960415606,-0.1756600206730438,1.567957746875579,-2.405652803282672,0,-0.009416453388798667,-0.4517880997275412,0.8077436787917474
0.012,0.5229124158175366,-0.6442355487301517,-0.2894849338755394,2.079769253499389,-2.943634971615481,0,-0.01064634319114337,-0.4516638016724038,0.8076072874459741
0.014,0.6873726964432235,-0.913502222280667,-0.4072298805515026,2.543770759446054,-3.409603198570111,0,-0.01092910156657805,-0.4515243685533911,0.8074813111794976
0.016,0.8680426436516016,-1.218034976450884,-0.5273320943762532,2.973851779190343,-3.842404778356107,0,-0.0105372464022486,-0.4513638554792123,0.8073665227208865
0.018,1.063920691036108,-1.552532479895101,-0.6488444866754393,3.379397464763871,-4.258470299183596,0,-0.009621656115823307,-0.4511775189627636,0.8072619571270105
0.02,1.273913192124466,-1.91254029599951,-0.7711032887165155,3.766835867113141,-4.664705975157885,0,-0.00827615483334479,-0.4509617023521111,0.8071661854703972
0.022,1.496917141018527,-2.294237856094445,-0.8936075154316403,4.14058473537031,-5.064017074452662,0,-0.006566196765837081,-0.4507134594887846,0.8070776475769385
0.024,1.731857553061516,-2.69431338362015,-1.015962394384555,4.50368152638548,-5.457626657465643,0,-0.004541754837175237,-0.4504303188545653,0.8069947664469338
0.026,1.977706091089282,-3.109877953718832,-1.137848079074529,4.858213318479295,-5.846045980973911,0,-0.002243365441636301,-0.4501101676727164,0.8069160071832506
0.028,2.233490231940991,-3.538401219057937,-1.259000447782968,5.205612594943344,-6.229482595951253,0,0.000294834353996222,-0.4497511999934338,0.8068399138284956
0.03,2.498297079706633,-3.977660938260254,-1.379198492132283,5.546861280105539,-6.608013908142569,0,0.003043436927088548,-0.4493518926962168,0.8067651318011931
0.032,2.771273994602256,-4.425702081853903,-1.49825563110459,5.882631588873954,-6.981662266454768,0,0.005976750340798438,-0.44891099124862,0.8066904196435322
0.034,3.051627313264144,-4.880802955371097,-1.61601350380211,6.213383254216907,-7.350428179786375,0,0.009072123187174472,-0.4484274973196889,0.8066146531540381
0.036,3.338619958091851,-5.341446658683006,-1.732337389696943,6.539430621744702,-7.714305361956921,0,0.01230945971961475,-0.4479006553997874,0.8065368244371839
0.038,3.631568443818103,-5.806296722715566,-1.847112728570489,6.860988926065786,-8.073287662165271,0,0.01567085154834139,-0.447329937811358,0.8064560377670402
0.04,3.929839607189926,-6.274176094118633,-1.960242399718124,7.178206184762116,-8.427372242301013,0,0.01914028639900621,-0.4467150283652279,0.8063715035835436
0.042,4.232847265498592,-6.74404885838514,-2.071644536371736,7.491185157480019,-8.776560947510172,0,0.0227034110583499,-0.4460558051774435,0.8062825314962909
0.044,4.540048930909077,-7.215004241910561,-2.181250725490588,7.79999844319175,-9.120860772739071,0,0.02634733426472312,-0.4453523231707049,0.8061885228600266
0.046,4.850942654874015,-7.686242539588871,-2.289004491049587,8.104698836928394,-9.460283871092331,0,0.03006046010030688,-0.4446047966996453,0.8060889632804304
0.048,5.165064042735259,-8.157062689758456,-2.394859991770188,8.405326411498915,-9.794847327659722,0,0.03383234535573872,-0.4438135826411733,0.8059834152761195
0.05,5.481983457769924,-8.626851272039421,-2.498780884738828,8.701913338011479,-10.12457282012364,0,0.03765357616126027,-0.4429791641965075,0.8058715112345445
0.052,5.801303419274153,-9.095072745149333,-2.60073932204388,8.994487145759308,-10.44948622968963,0,0.04151566041053097,-0.4421021355727764,0.8057529467449867
0.054,6.122656191669411,-9.561260771397768,-2.700715056145548,9.283072905695972,-10.76961724107007,0,0.04541093332592345,-0.4411831876474065,0.8056274743539997
0.056,6.445701556631793,-10.0250104983549,-2.798694636556138,9.567694672383865,-11.08499895265987,0,0.04933247411107831,-0.4402230946695848,0.805494897764347
0.058,6.770124757823397,-10.48597168671521,-2.894670685146308,9.848376417400587,-11.39566750483388,0,0.05327403207736927,-0.4392227020180065,0.8053550664807489
0.06,7.095634606596046,-10.94384258821637,-2.988641240198568,10.12514261480367,-11.70166173224677,0,0.05722996093238153,-0.4381829150048859,0.805207870894733
0.062,7.421961736759458,-11.39836448992621,-3.080609161354383,10.39801858955225,-12.00302284332005,0,0.06119516015533736,-0.4371046886958901,0.8050532377933592
0.064,7.748856997077194,-11.84931685102544,-3.170581589058763,10.66703070656651,-12.29979412559442,0,0.0651650225735167,-0.4359890187038511,0.8048911262704422
0.066,8.076089970024277,-12.29651296761837,-3.258569453222629,10.93220645245895,-12.59202067822494,0,0.06913538738335279,-0.4348369329022798,0.8047215240176421
0.068,8.403447606758601,-12.73979610791928,-3.344587026840269,11.1935744479596,-12.87974916609442,0,0.07310249799240529,-0.4336494840033222,0.8045444439686998
0.07000000000000001,8.730732968469654,-13.17903606710098,-3.428651520225618,11.45116441522228,-13.1630275988169,0,0.0770629641164125,-0.4324277429366178,0.8043599212714635
0.07200000000000001,9.057764065408195,-13.614126096369,-3.510782712535291,11.705007117663,-13.44190512923342,0,0.08101372767149177,-0.4311727929699001,0.8041680105612082
0.074,9.384372785117614,-14.04498016638932,-3.591002617580877,11.95513428386796,-13.71643187121278,0,0.08495203204161966,-0.4298857245095016,0.8039687835102778
0.076,9.710403902875829,-14.47153052866586,-3.669335180641613,12.20157852361666,-13.98665873524384,0,0.08887539435957179,-0.428567630522509,0.8037623266290999
0.078,10.03571416696697,-14.89372554352362,-3.745806004222291,12.44437324070185,-14.25263727923326,0,0.09278158048708413,-0.4272196025242457,0.8035487392965667
0.08,10.36017145306158,-15.31152774566953,-3.820442099896294,12.68355254676136,-14.51441957429549,0,0.09666858240724974,-0.425842727077907,0.8033281319970069
0.082,10.68365398180016,-15.72491212205034,-3.89327166424081,12.91915117761347,-14.77205808326326,0,0.100534597784621,-0.4244380827569002,0.8031006247444639
0.08400000000000001,11.00604959442058,-16.13386457928108,-3.964323876794037,13.15120441347473,-15.02560555151842,0,0.1043780114681657,-0.4230067375231581,0.8028663456757773
0.08600000000000001,11.32725508178978,-16.53838058029075,-4.033628718194665,13.37974800402157,-15.27511490819589,0,0.1081973787433151,-0.4215497464792337,0.8026254297951531
0.08799999999999999,11.64717556256048,-16.93846393197514,-4.101216806659819,13.60481809843678,-15.52063917750695,0,0.1119914101546986,-0.4200681499545769,0.8023780178549089
0.09,11.96572390640647,-17.33412570780016,-4.167119251380327,13.82645118022888,-15.76223139910212,0,0.1157589577436569,-0.4185629718898637,0.8021242553588458
0.092,12.28282019895071,-17.72538329064848,-4.231367521160192,14.04468400737955,-15.99994455626032,0,0.1194990025610843,-0.4170352184873829,0.8018642916744704
0.094,12.59839124503524,-18.11225952309245,-4.29399332711148,14.25955355717539,-16.23383151132604,0,0.1232106433299775,-0.4154858770972579,0.8015982792433092
0.096,12.91237010733117,-18.49478195348989,-4.355028518126255,14.4710969755491,-16.46394494775528,0,0.1268930861446029,-0.4139159153127474,0.8013263728788576
0.098,13.22469567757087,-18.87298216756204,-4.414504987793856,14.67935153033415,-16.69033731933535,0,0.1305456351019272,-0.4123262802496575,0.8010487291432423
0.1,13.53531227788467,-19.24689519626285,-4.472454592052569,14.88435456870554,-16.91306080337425,0,0.1341676837838504,-0.4107178979895018,0.8007655057935057
0.102,13.84416929012287,-19.61655899147981,-4.528909076254932,15.08614347851421,-17.13216725950187,0,0.1377587075005204,-0.4090916731658473,0.8004768612900773
0.104,14.15122081088618,-19.98201396235302,-4.583900010861989,15.28475565240574,-17.34770819364285,0,0.1413182562232416,-0.4074484886758464,0.8001829543618694
0.106,14.45642533026315,-20.34330256578695,-4.637458735270764,15.48022845544393,-17.5597347248046,0,0.1448459481467747,-0.4057892055023475,0.7998839436208088
0.108,14.75974543285655,-20.70046894476691,-4.689616308375156,15.67259919536,-17.76829755695512,0,0.1483414638132051,-0.4041146626315357,0.7995799872211002
