"time","ee_y","joint_angle_2","joint_angle_3","joint_angle_6","joint_angle_5","joint_angle_4","ee_z","ee_x","joint_angle_1"
0,0,0,0,0,0,0,0,0,0
0.002,-0.452,0,0,0,0,0,0.8080000000000001,0,0
0.004,-0.4519953253460913,0.02355528159647725,-0.01763790043214067,0,0.3444541131826132,-0.1375903849437234,0.8079964460209109,0.00174289884143956,0.01472692488714483
0.006,-0.4519685564610682,0.06878142226171356,-0.05150266926185074,0,0.8955806942747941,-0.3852530778424254,0.8079741196286481,0.004536863624144765,0.04333923609645478
0.008,-0.451898584555239,0.1653077267393276,-0.05940039568058437,0,1.546665991865409,-0.8026513555427802,0.8079083705103427,0.008129598666839793,0.1000043567048293
0.01,-0.4517909161355252,0.2670015769019211,-0.05208930615523032,0,2.171431312074248,-1.269469328417347,0.8077955243038347,0.01172024593237126,0.1508518355755023
0.012,-0.45164886942807,0.3711367470604627,-0.03271851388384309,0,2.768630251112951,-1.761134719880579,0.8076358181457257,0.01524072262532212,0.1951268328057806
0.014,-0.4514738203391051,0.4767422552451491,-0.002784092384807785,0,3.345127371541284,-2.268148882917571,0.8074297860747554,0.01869910155945885,0.232928122147542
0.016,-0.4512663346306532,0.5832827175706914,0.03662868473672227,0,3.906253420100803,-2.784987058728064,0.8071782145894953,0.02210623285829855,0.264542490518729
0.018,-0.4510267035183458,0.6903893688731327,0.08460912516936078,0,4.455536189972863,-3.307896283158081,0.8068821253758389,0.02546901100330363,0.2903158912169812
0.02,-0.4507551828135749,0.7977776315470976,0.140351084782399,0,4.99522467302202,-3.834151527112591,0.8065427404774234,0.02879097063535281,0.3106117884503306
0.022,-0.4504520910227137,0.9052137768208336,0.2031249743520957,0,5.526740801409904,-4.361709324047263,0.8061614359397273,0.03207353340609474,0.3257938587144257
0.024,-0.4501178411349812,1.012498666752662,0.2722639510295867,0,6.050988043604892,-4.88901155149307,0.8057396933220511,0.03531696020140001,0.3362176314173316
